raw_name,normalized_name
Lactobacillus delbrueckii ssp. bulgaricus(고시형),lactobacillusdelbrueckiisspbulgaricus(고시형)
Lactobacillus delbrueckii subsp. lactis,lactobacillusdelbrueckiisubsplactis
Lactobacillus fermentum,lactobacillusfermentum
Lactobacillus fermentum(고시형),lactobacillusfermentum(고시형)
Lactobacillus fermentum분말,lactobacillusfermentum분말
Lactobacillus gasseri,lactobacillusgasseri
Lactobacillus gasseri BNR17(기능성원료인정제2017-6호),lactobacillusgasseribnr17(기능성원료인정제2017-6호)
Lactobacillus gasseri(고시형),lactobacillusgasseri(고시형)
Lactobacillus helveticus,lactobacillushelveticus
Lactobacillus helveticus(고시형),lactobacillushelveticus(고시형)
Lactobacillus johnsonii,lactobacillusjohnsonii
Lactobacillus paracasei,lactobacillusparacasei
Lactobacillus paracasei(고시형),lactobacillusparacasei(고시형)
Lactobacillus paraplantarum,lactobacillusparaplantarum
Lactobacillus pentosus,lactobacilluspentosus
Lactobacillus plantarum(고시형),lactobacillusplantarum(고시형)
Lactobacillus plantarum동결건조,lactobacillusplantarum동결건조
Lactobacillus plantarum분말,lactobacillusplantarum분말
Lactobacillus reuteri,lactobacillusreuteri
Lactobacillus reuteri(고시형),lactobacillusreuteri(고시형)
Lactobacillus reuteri분말,lactobacillusreuteri분말
Lactobacillus rhamnosus,lactobacillusrhamnosus
Lactobacillus rhamnosus(고시형),lactobacillusrhamnosus(고시형)
Lactobacillus sakei Probio65(기능성원료인정제2013-17호),lactobacillussakeiprobio65(기능성원료인정제2013-17호)
Lactobacillus salivarius(고시형),lactobacillussalivarius(고시형)
Lactobacillus(고시형),lactobacillus(고시형)
Lactococcus lactis subsp. lactis,lactococcuslactissubsplactis
Lactococcus lactis(고시형),lactococcuslactis(고시형)
Lactococcus(고시형),lactococcus(고시형)
Lactones,lactones
Latilactobacillus curvatus,latilactobacilluscurvatus
Latilactobacillus sakei,latilactobacillussakei
Laver,laver
Lemon Flavor,lemonflavor
Lemon Flavor 11208600,lemonflavor11208600
Lemon essential oil,lemonessentialoil
Lentilactobacillus kefiri,lentilactobacilluskefiri
Leuconostoc citreum,leuconostoccitreum
Leuconostoc kimchii,leuconostockimchii
Leuconostoc mesenteroides,leuconostocmesenteroides
Levilactobacillus brevis,levilactobacillusbrevis
Ligilactobacillus salivarius,ligilactobacillussalivarius
Ligilactobacillus salivarius(고시형),ligilactobacillussalivarius(고시형)
Lime Flavor,limeflavor
Limosilactobacillus fermentum,limosilactobacillusfermentum
Limosilactobacillus fermentum(고시형),limosilactobacillusfermentum(고시형)
Limosilactobacillus reuteri,limosilactobacillusreuteri
Limosilactobacillus reuteri(고시형),limosilactobacillusreuteri(고시형)
Linalool,linalool
Longan열매,longan열매
Lychee Flavor,lycheeflavor
L아스코르빈산나트륨(고시형),l아스코르빈산나트륨(고시형)
M-이노시톨,m-이노시톨
M.S.G,msg
MASTER BATCH,masterbatch
MASTIC,mastic
MILK EMD(P-O3393/1),milkemd(p-o33931)
MILK PROTEIN ISOLATE,milkproteinisolate
MINERAL OIL,mineraloil
MI베이스1230,mi베이스1230
MM24,mm24
MORTIERELLA ALPINA OIL,mortierellaalpinaoil
MSGO,msgo
Mace분말,mace분말
Maltol,maltol
Maple향,maple향
Maqui berry분말,maquiberry분말
Maqui berry열매,maquiberry열매
Maqui berry추출물분말,maquiberry추출물분말
Maqui berry추출액,maquiberry추출액
Marron Flavor,marronflavor
Menthyl acetate,menthylacetate
Methyl,methyl
Methyl cyclopentenolone,methylcyclopentenolone
Methyl thiobutyrate,methylthiobutyrate
Milk,milk
Milk Flavor,milkflavor
Milk Flavor N-8154,milkflavorn-8154
Mixed seasonings,mixedseasonings
Mizuna잎,mizuna잎
Moldavian balm잎,moldavianbalm잎
Monascus ruber,monascusruber
Multifect GO 1500L,multifectgo1500l
Muscat Grape Flavor 11325100,muscatgrapeflavor11325100
Muskmelon,muskmelon
M맛살,m맛살
